User,Article,Message,Price,Currency,Date,Status,Platform
dc_f,8,7356809611,199,points,"4/21/2026, 1:27:45 AM",Pending,kick
ridachar9i,8,2760923125,199,points,"4/21/2026, 1:13:15 AM",Pending,kick
TENO_al,8,13426966825,199,points,"4/21/2026, 12:48:15 AM",Pending,kick
spaidr_14,8,تمساح انا كان معي 398وكان بقالي 1واشتري وخاصة وما اشتريت ارجوك اشحنلي9788058250,199,points,"4/21/2026, 12:42:15 AM",Delivered,kick
souperpro,8,10978728803,199,points,"4/21/2026, 12:37:45 AM",Delivered,kick
hema718,8,2189476228,199,points,"4/21/2026, 12:36:45 AM",Delivered,kick
LHOTGAMXx,8,14519716252,199,points,"4/21/2026, 12:30:45 AM",Delivered,kick
tss6,💎(200) شحن تصريح المستوي,3384104635,349,points,"4/21/2026, 12:29:45 AM",Delivered,kick
zidfifiddfidkffh,💎(200) شحن تصريح المستوي,14435409100,349,points,"4/21/2026, 12:28:15 AM",Delivered,kick
adam_10_naruto,8,2100548160,199,points,"4/21/2026, 12:28:15 AM",Delivered,kick
hema718,💎(200) شحن تصريح المستوي,13722272020,349,points,"4/21/2026, 12:26:45 AM",Delivered,kick
KDDAUEJ,💎(200) شحن تصريح المستوي,9067188297,349,points,"4/21/2026, 12:25:45 AM",Delivered,kick
Salam121,8,2132923099,199,points,"4/21/2026, 12:25:15 AM",Pending,kick
ahlamsmf,💎 (450) شحن عضوية اسبوعية,3576499560,799,points,"4/21/2026, 12:24:45 AM",Pending,kick
MoSa_kooo,8,12725422809,199,points,"4/21/2026, 12:24:15 AM",Pending,kick
ayanass99,💎(200) شحن تصريح المستوي,Id: 9283443134,349,points,"4/21/2026, 12:24:15 AM",Pending,kick
MOHAB_23,💎(200) شحن تصريح المستوي,6773193988,349,points,"4/21/2026, 12:23:45 AM",Pending,kick
ABDELKABIR8,💎 (450) شحن عضوية اسبوعية,2573240718,799,points,"4/21/2026, 12:23:45 AM",Pending,kick
F_a_d_y3,💸 تحويل 50 جنيه كاش,01016084731,399,points,"4/21/2026, 12:23:45 AM",Pending,kick
SALAH12_10MESSI,💎 شحن 110 جوهرة ,d 2573240718,399,points,"4/21/2026, 12:23:45 AM",Pending,kick
batman1_4,💎 (450) شحن عضوية اسبوعية,2050936060,799,points,"4/21/2026, 12:23:45 AM",Pending,kick
